dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,sub_appearance_rate,float64,0.0,395,Engineered/Merged,Merged or engineered feature,0.0 (5011); 1.0 (1268); 0.5 (585)
historical_2015_2024,understat_goals_per90,float64,0.0,6254,Understat,Rate per 90 minutes,0.0 (9993); 0.0526315789473684 (15); 0.254957507082153 (12)
historical_2015_2024,understat_xg_per90,float64,0.0,17086,Understat,Rate per 90 minutes,0.0 (3111); 0.0219099563789461 (3); 0.1508876792932591 (2)
historical_2015_2024,understat_np_goals_per90,float64,0.0,6074,Understat,Rate per 90 minutes,0.0 (10132); 0.0526315789473684 (16); 0.2083333333333333 (11)
historical_2015_2024,understat_np_xg_per90,float64,0.0,17082,Understat,Rate per 90 minutes,0.0 (3115); 0.0219099563789461 (3); 0.1896021033134438 (2)
historical_2015_2024,understat_assists_per90,float64,0.0,5491,Understat,Rate per 90 minutes,0.0 (10220); 0.0263157894736842 (17); 0.0526315789473684 (12)
historical_2015_2024,understat_xa_per90,float64,0.0,17128,Understat,Rate per 90 minutes,0.0 (3079); 0.0407007080985444 (3); 0.0815294307607624 (2)
historical_2015_2024,understat_shots_per90,float64,0.0,12101,Understat,Rate per 90 minutes,0.0 (3111); 1.0 (34); 3.103448275862069 (24)
historical_2015_2024,understat_key_passes_per90,float64,0.0,11343,Understat,Rate per 90 minutes,0.0 (3075); 1.0 (32); 0.0526315789473684 (28)
historical_2015_2024,understat_xg_chain_per90,float64,0.0,19384,Understat,Rate per 90 minutes,0.0 (782); 0.1445087150878954 (3); 0.2307480906382195 (2)
historical_2015_2024,understat_xg_buildup_per90,float64,0.0,19028,Understat,Rate per 90 minutes,0.0 (1143); 0.108408333601868 (3); 0.2631950892251113 (2)
historical_2015_2024,shot_on_target_rate,float64,0.0,975,Engineered/Merged,Merged or engineered feature,0.0 (5588); 0.5 (1409); 0.3333333333333333 (1099)
historical_2015_2024,goal_conversion_rate,float64,0.0,708,Engineered/Merged,Merged or engineered feature,0.0 (10256); 0.1666666666666666 (481); 0.2 (473)
historical_2015_2024,dribble_success_rate,float64,0.0,1467,Engineered/Merged,Merged or engineered feature,0.0 (3597); 1.0 (1807); 0.5 (1458)
historical_2015_2024,duel_win_rate,float64,0.0,6710,Engineered/Merged,Merged or engineered feature,0.0 (1175); 0.5 (643); 1.0 (521)
historical_2015_2024,goals_minus_xg,float64,0.0,17084,Engineered/Merged,Merged or engineered feature,0.0 (3111); -0.3405780997127294 (3); -1.0584048554301262 (2)
historical_2015_2024,np_goals_minus_np_xg,float64,0.0,17081,Engineered/Merged,Merged or engineered feature,0.0 (3115); -0.3405780997127294 (3); -1.48651984333992 (2)
historical_2015_2024,assists_minus_xa,float64,0.0,17126,Engineered/Merged,Merged or engineered feature,0.0 (3079); -0.6326698958873749 (3); 0.8647580910474062 (2)
historical_2015_2024,xg_xa_per90,float64,0.0,18053,Engineered/Merged,Rate per 90 minutes,0.0 (2130); 0.0626106644774906 (3); 0.2391208160268373 (2)
historical_2015_2024,np_xg_xa_per90,float64,0.0,18053,Engineered/Merged,Rate per 90 minutes,0.0 (2130); 0.0626106644774906 (3); 0.2391208160268373 (2)
historical_2015_2024,goals_assists_per90,float64,0.0,1421,Engineered/Merged,Rate per 90 minutes,0.0 (7469); 0.062 (69); 0.084 (60)
historical_2015_2024,cards_per90,float64,0.0,8180,Engineered/Merged,Rate per 90 minutes,0.0 (4811); 0.0526315789473684 (35); 0.3333333333333333 (30)
historical_2015_2024,api_minutes_pos_season_pct,float64,0.0,16951,API-Football,Percentile rank within season and model position,1.0 (27); 0.0989583333333333 (23); 0.1236842105263157 (22)
historical_2015_2024,api_avg_rating_pos_season_pct,float64,0.0,13785,API-Football,Percentile rank within season and model position,1.0 (40); 0.5 (27); 0.0186832740213523 (16)
historical_2015_2024,goals_assists_per90_pos_season_pct,float64,0.0,8787,Engineered feature,Percentile rank within season and model position,0.2202970297029703 (355); 0.2219215155615697 (327); 0.2032051282051282 (316)
historical_2015_2024,xg_xa_per90_pos_season_pct,float64,0.0,17615,Engineered feature,Percentile rank within season and model position,0.3736842105263158 (142); 0.3601036269430052 (138); 0.3463541666666667 (132)
historical_2015_2024,np_xg_xa_per90_pos_season_pct,float64,0.0,17624,Engineered feature,Percentile rank within season and model position,0.3736842105263158 (142); 0.3601036269430052 (138); 0.3463541666666667 (132)
historical_2015_2024,understat_xg_chain_per90_pos_season_pct,float64,0.0,18620,Understat,Percentile rank within season and model position,0.0272277227722772 (43); 1.0 (39); 0.0187431091510474 (33)
historical_2015_2024,understat_xg_buildup_per90_pos_season_pct,float64,0.0,18307,Understat,Percentile rank within season and model position,0.0317460317460317 (55); 0.0476618705035971 (52); 0.031559405940594 (50)
historical_2015_2024,api_tackles_total_per90_pos_season_pct,float64,0.0,12519,API-Football,Percentile rank within season and model position,0.406215921483097 (744); 0.3792517006802721 (668); 0.4029062087186261 (609)
